Type,Count
Flat,1
Flat Stage,7
Flat cobblestone stage,1
Flat stage,191
Half Stage,5
High mountain stage,57
Hilly Stage,2
Hilly stage,92
Individual time trial,211
Intermediate stage,3
Medium mountain stage,41
Medium mountain stage[c],1
Medium-mountain stage,7
Mountain Stage,11
Mountain Stage (s),6
Mountain stage,73
Mountain time trial,14
Plain stage,1008
Plain stage with cobblestones,1
Stage with mountain,11
Stage with mountain(s),501
Stage with mountains,4
Team time trial,89
Transition stage,4
